ItemFullNumber,LotFullNumber,LotUrl,LotCategory,LotName*,LotDescription,Warranty,LotImage,LowEstimate,HighEstimate,StartingBid*,Increment,Cost,Replacement Price,ReservePrice,Consignor,ListingOnly,BestOffer,BuyNowAmount,NoBidding,SalesTax,HpTaxSchemaId,BpTaxSchemaId,NoTaxOutsideState,Featured?,Quantity,QuantityDigits,QuantityXMoney,BuyNowSelectQuantity,T&C,Changes,OnlyTaxBP,"Location (named, mutually exclusive with detailed location)",Location address,Location country,Location city,Location county,Location logo,Location state,location zip,BulkControl,BulkWinBidDistribution,BpSetting,BpRangeCalculation,SeoMetaTitle,SeoMetaKeywords,SeoMetaDescription,FbOgTitle,FbOgDescription,FbOgImageUrl,GeneralNote,NoteToClerk,PublishDate,StartBiddingDate,UnpublishDate,StartClosingDate,ConsignorCommissionId,ConsignorCommissionRanges,ConsignorCommissionCalculationMethod,ConsignorSoldFeeId,ConsignorSoldFeeRanges,ConsignorSoldFeeCalculationMethod,ConsignorSoldFeeReference,ConsignorUnsoldFeeId,ConsignorUnsoldFeeRanges,ConsignorUnsoldFeeCalculationMethod,ConsignorUnsoldFeeReference,Type,Primary Colour,Clarity,Primary Cut Shape,Diamond Carat,Purpose,Secondary Category,Secondary Colour,Secondary Diamond Carat,Diamond Carat Range,Gemstone Carat Range,Gold Carat,Metal,Pearl Size,Pearl Size Range,Origin,Model No,Certificate,Condition,Brand,Youtube,Other Bidding Methods,Condition Report,Additional Videos,Consignment Details,Australian & International Details
98550,1,,Miscellaneous Gemstones,"Sapphire, Emerald, and Diamond Necklace","Mixed Gemstone & Diamond pendant with heart shape multicolour Natural Sapphires (including orange, pink, green and golden) of approximately 9.00ct (7x7mm), pear shape Natural Emeralds totalling approximately 0.30ct (5x3mm), 2 rose cut Natural Blue Sapphires of approximately 3mm in size & round Natural Diamonds totalling approximately 4.20ct (estimated grading: H-I SI). Pendant size: 6.6cm x 4cm (including bail). 18ct yellow gold with 65cm 18ct yellow gold chain. Weight: 33.1g. With copy of Certificate #419895. (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/98550-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_1-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_2-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_20-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_3-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_4-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_5-sapphire--emerald--and-diamond-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98550_6-sapphire--emerald--and-diamond-necklace.jpg,6000,8000,2100,,,,6000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace,,,,9,,Diamond,,4.2,4 - 4.99,5 - 9.99,18,Yellow Gold,,,,,,Pre-owned, ,https://www.youtube.com/watch?v=GHShzdMOO5U,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98089,2,,Watches Mens,Rolex Explorer I Mens Watch 114270,"Rolex Oyster Perpetual Explorer stainless steel automatic mens watch. Black dial, case diameter: 36mm, wrist size: 19cm, Swiss made. Ref# 114270. Circa: 2006 or 2007. With Rolex Oyster stainless steel bracelet and clasp. With Certificate of Authenticity and Rolex box. 3 month FSA warranty. Weight: 105g (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/98089-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_1-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_2-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_20-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_3-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_4-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_5-rolex-explorer-i-mens-watch-114270.jpg|https://www.solditonline.com.au/catalogue/images/2021/98089_6-rolex-explorer-i-mens-watch-114270.jpg,7000,8000,2500,,,,6700,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watch,,,,,,,,,,,,Stainless Steel,,,,114270,David Lightfoot Watchmaker,Pre-owned,Rolex,https://www.youtube.com/watch?v=h6dfOhMtjOg,,"<strong>Type:</strong> Rolex Ref# 114270 Oyster Perpetual Explorer stainless steel, circa 2006 or 2007<p><strong>Dial:</strong> Black dial with scratch-resistant sapphire crystal<p><strong>Case No:</strong> Z0….. (the serial number is concealed for security reasons in the online copy of the certificate)<p><strong>Case Info:</strong> 36mm, stainless steel with screw down crown<p><strong>Watch Movement:</strong> Rolex calibre 3130, self-winding, automatic watch<p><strong>Band:</strong> OP2, Rolex stainless steel Oyster with 12 links with fold clasp<p><strong>Condition:</strong> This timepiece is presented good condition with visible scratches throughout, most notably on the bezel, the lug at the 10 o’clock position, and one side of the bracelet. The bracelet links show wear consistent with regular use.<p><strong><a href='https://www.firststateauctions.com/au/watch-condition-report'> (click here for more  information)</a></strong><p><strong>Box:</strong> Worn condition<p><strong>Warranty:</strong> FSA warranty of 3 months applies to this watch<p><strong><a href='https://www.firststateauctions.com/au/swiss-watches-warranty'> (click here for more  information)</a></strong><p><strong>Notes:</strong> Timekeeping accuracy has been tested within 20 seconds per day and warranty cover is for within 20 seconds per day.
<P>
Buyers to assume the watch hasn’t been serviced unless stated otherwise.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98831,3,,Diamond,0.56ct Diamond Studs,Diamond stud earrings with 2 round Natural Diamonds totalling approximately 0.56ct (Estimated grading: G SI-P1). 18ct white gold. Weight: 2.6g. (Pre-owned).,,https://www.solditonline.com.au/catalogue/images/2021/98831-0.56ct-diamond-studs.jpg|https://www.solditonline.com.au/catalogue/images/2021/98831_1-0.56ct-diamond-studs.jpg|https://www.solditonline.com.au/catalogue/images/2021/98831_2-0.56ct-diamond-studs.jpg|https://www.solditonline.com.au/catalogue/images/2021/98831_3-0.56ct-diamond-studs.jpg|https://www.solditonline.com.au/catalogue/images/2021/98831_4-0.56ct-diamond-studs.jpg|https://www.solditonline.com.au/catalogue/images/2021/98831_5-0.56ct-diamond-studs.jpg|https://www.solditonline.com.au/catalogue/images/2021/98831_6-0.56ct-diamond-studs.jpg,600,1200,225,,,,600,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,,,Round,0.56,Stud Earrings,,,,0.5 - 0.99,,18,White Gold,,,,,,Pre-owned, ,,,"<strong>Notes:</strong> Screwback earrings, one screwback works, the other is not functional. Metal with wear marks.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
97282,4,,Accessories,Chanel Mini Rectangular Flap Bag,"Chanel mini rectangular flap bag in light grey diamond-quilted lambskin leather (#29xxxxxx: 2020). Featuring silver-toned hardware, a rear exterior patch pocket, and single chain leather shoulder strap. The CC turn lock closure on front flap opens to a tonal leather interior with patch and zip pockets. Approx dimensions: 20cm(L) x 13cm(H) x 6cm(D), strap drop 58cm. Accompanied by Chanel card and dustbag. With Entrupy Certificate of Authenticity. (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/97282-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_1-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_16-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_17-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_19-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_19-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_2-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_3-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_4-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_5-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_6-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_7-chanel-mini-rectangular-flap-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/97282_9-chanel-mini-rectangular-flap-bag.jpg,4000,4500,1400,,,,4000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Designer Bags,,,,,,,,,,,,,,,,,Entrupy,Pre-owned,Chanel,,,"<strong>Exterior:</strong> Very good, with slight signs of wear.<p><ul><li><strong>Material:</strong> With light rubbings on top corner rim, rubbings and colour darkened along back pocket edge.</li></ul><p><ul><li><strong>Shape:</strong> Very good.</li></ul><p><ul><li><strong>Stitching:</strong> Very good.</li></ul><p><ul><li><strong>Closure:</strong> Turn-lock closure works well.</li></ul><p><ul><li><strong>Base:</strong> Very good.</li></ul><p><strong>Interior:</strong> Very good, with slight signs of wear.<p><ul><li><strong>Lining:</strong> With slight creasing on leather.</li></ul><p><ul><li><strong>Pockets:</strong> Very good.</li></ul><p><ul><li><strong>Zippers:</strong> Zipper works well.</li></ul><p><strong>Handle/Strap:</strong> Minor staining on leather from rubbing again chain hardware.<p><strong>Hardware:</strong> Very good, with minimal scratches and plastic covering still intact on the interior zipper puller.<p>",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
96616,5,,Diamond,"Cartier Love Bracelet, 4 Diamonds","Cartier Love bracelet, classic model with 4 round Natural brilliant cut Diamonds totalling 0.42ct (Estimated grading: F VS). 18ct white gold. Cartier stamped size 19. Width: 6mm. Weight: 35.2g. With unbranded screwdriver. With Certificate #2559334528893973. (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/96616-cartier-love-bracelet--4-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/96616_1-cartier-love-bracelet--4-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/96616_2-cartier-love-bracelet--4-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/96616_20-cartier-love-bracelet--4-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/96616_3-cartier-love-bracelet--4-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/96616_4-cartier-love-bracelet--4-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/96616_5-cartier-love-bracelet--4-diamonds.jpg,10000,12000,3500,,,,10000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangle,,,Round,0.42,,,,,0 - 0.49,,18,White Gold,,,Branded,,LegitApp,Pre-owned,Cartier,https://www.youtube.com/watch?v=DbUnyU3NQjY,,<strong>Condition:</strong> Bangle is in average to good condition. There are polishing marks on the bangle. Some small scratches. No major dents. Some notable scratches on the edges.<p><strong><a href='https://www.firststateauctions.com/au/watch-condition-report'> (click here for more  information)</a></strong><p><strong>Notes:</strong> Cartier screws indicate the piece was made pre 2011.  Aftermarket (non-Cartier) screwdriver.,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
96855,6,,Diamond,3.99ct Diamond Inside-Out Hoop Earrings,Diamond inside-out hoop earrings with 36 round Natural Diamonds totalling 3.99ct (Estimated grading: H-I SI). Back of the hoop has the Diamonds set inside the hoop. 14ct yellow gold. Diameter: 25mm. Hoop width: 3.0mm. Weight: 6.5g. With Valuation Certificate #421812. (New).,,https://www.solditonline.com.au/catalogue/images/2021/96855-3.99ct-diamond-inside-out-hoop-earrings.jpg|https://www.solditonline.com.au/catalogue/images/2021/96855_1-3.99ct-diamond-inside-out-hoop-earrings.jpg|https://www.solditonline.com.au/catalogue/images/2021/96855_2-3.99ct-diamond-inside-out-hoop-earrings.jpg|https://www.solditonline.com.au/catalogue/images/2021/96855_20-3.99ct-diamond-inside-out-hoop-earrings.jpg|https://www.solditonline.com.au/catalogue/images/2021/96855_3-3.99ct-diamond-inside-out-hoop-earrings.jpg,5000,5500,1800,,,,4700,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,,,Round,3.99,Diamond Earring,,,,3 - 3.99,,14,Yellow Gold,,,,,Mitchells Jewellery Valuations,New, ,,,"<strong>Notes:</strong> The valuation certificate accompanying this item does not necessarily reflect its resale, market, or auction value. Bidders should consider the purpose of the valuation and rely on their own research and judgment when determining their bid amount.
In most instances, the valuation is prepared to provide an independent assessment of the item’s replacement value for insurance purposes.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
97484,7,,Watches Mens,TAG Heuer Monaco Mens Watch,"TAG Heuer Monaco DLC titanium automatic mens watch. Blue skeleton dial, date, case diameter: 39mm, adjustable wrist size: 19cm, Swiss made. Ref# CBL2188.FT6261. With TAG Heuer blue rubber & leather strap and clasp. With Certificate of Authenticity, TAG Heuer Limited International Warranty card dated 25/05/2024. Balance of 2 years manufacturer warranty applies. With TAG Heuer box. Weight: 97.9g (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/97484-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_1-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_2-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_20-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_3-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_4-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_5-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_6-tag-heuer-monaco-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97484_7-tag-heuer-monaco-mens-watch.jpg,10500,11500,3700,,,,10500,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watch,,,,,,,,,,,,Titanium,,,,,Creative Watchmaker,Pre-owned,Tag Heuer,https://www.youtube.com/watch?v=nU-rs1RYjww,,"<strong>Type:</strong> TAG Heuer Ref# CBL2188.FT6261,  Monaco, DLC titanium.<p><strong>Dial:</strong> Black & blue skeleton dial with date window at 6 o'clock position and scratch-resistant sapphire crystal.<p><strong>Case No:</strong> WT….. (the serial number is concealed for security reasons in the online copy of the certificate)<p><strong>Case Info:</strong> 39mm, DLC titanium with two pusher and screw down crown.<p><strong>Watch Movement:</strong> TAG Heuer calibre TH20-00, Self-winding, Automatic.<p><strong>Band:</strong> TAG Heuer blue leather and rubber strap with push button folding clasp.<p><strong>Condition:</strong> This timepiece is presented in very good condition with minor scratches on the case and clasp. The strap shows wear marks from regular use, but the watch remains very presentable overall.<p><strong><a href='https://www.firststateauctions.com/au/watch-condition-report'> (click here for more  information)</a></strong><p><strong>Box:</strong> Good condition.<p><strong>Warranty:</strong> FSA warranty of 3 months applies to this watch.<p><strong><a href='https://www.firststateauctions.com/au/swiss-watches-warranty'> (click here for more  information)</a></strong><p><strong>Notes:</strong> Timekeeping accuracy has been tested within 20 seconds per day and warranty cover is for within 20 seconds per day.
<P>
Buyers to assume the watch hasn’t been serviced unless stated otherwise.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98558,8,,Diamond,3.00ct Diamond Bracelet,"Diamond bracelet with multi-shape (including pear, heart, oval, radiant, marquise and square emerald cut) Natural Diamonds totalling approximately 3.00ct (Estimated grading: GHI SI). 16ct yellow gold (XRF tested). Weight: 6.2g. Length: 13.5cm. (Pre-owned).",,https://www.solditonline.com.au/catalogue/images/2021/98558-3.00ct-diamond-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/98558_1-3.00ct-diamond-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/98558_2-3.00ct-diamond-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/98558_4-3.00ct-diamond-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/98558_5-3.00ct-diamond-bracelet.jpg,2200,3000,800,,,,2200,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bracelet,,,,3,Diamond Bracelet,,,,3 - 3.99,,,Yellow Gold,,,,,,Pre-owned, ,https://www.youtube.com/watch?v=X_t4dq6Kp94,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98172,9,,Watches Mens,Omega Seamaster Diver Mens Watch,"Omega Seamaster Diver stainless steel automatic mens watch. White dial, date, case diameter: 41mm, wrist size: 17.5cm, Swiss made. Ref# 2538.20. Circa: 2006. With Omega stainless steel bracelet and clasp. With Certificate of Authenticity and Omega box. 3 month FSA warranty. Weight: 158.4g (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/98172-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_1-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_2-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_20-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_3-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_5-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_6-omega-seamaster-diver-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98172_7-omega-seamaster-diver-mens-watch.jpg,4500,5000,1600,,,,4500,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watch,,,,,,,,,,,,Stainless Steel,,,,,David Lightfoot Watchmaker,Pre-owned,Omega,https://www.youtube.com/watch?v=I2ZlfLXDMBs,,"<strong>Type:</strong> Omega, Ref# 2538.20, Seamaster Diver, Great White, stainless steel<p><strong>Dial:</strong> White wave pattern dial with date window at 3 o'clock position and scratch resistant sapphire crystal.<p><strong>Case No:</strong> 80…… (the serial number is concealed for security reasons in the online copy of the certificate)<p><strong>Case Info:</strong> 41mm, stainless steel with bidirectional rotating bezel and pull-push crown.<p><strong>Watch Movement:</strong> Omega calibre 1128, self-winding, automatic.<p><strong>Band:</strong> 1611/931, Omega, stainless steel, 13 links with push button fold clasp.<p><strong>Condition:</strong> This timepiece is presented in good condition showing light signs of wear. Minor scratches and wear marks present. Slight wear to bracelet links. Very presentable overall.<p><strong><a href='https://www.firststateauctions.com/au/watch-condition-report'> (click here for more  information)</a></strong><p><strong>Box:</strong> Extremely deteriorated condition<p><strong>Warranty:</strong> FSA warranty of 3 months applies to this watch<p><strong><a href='https://www.firststateauctions.com/au/swiss-watches-warranty'> (click here for more  information)</a></strong><p><strong>Notes:</strong> Timekeeping accuracy has been tested within 20 seconds per day and warranty cover is for within 20 seconds per day.
<P>
Buyers to assume the watch hasn’t been serviced unless stated otherwise.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98724,10,,Emerald,0.54ct Emerald & Diamond Ring 18ct Gold,Emerald and Diamond ring with epaulette cut & carre cut Natural Emeralds totalling 0.54ct and emerald & care cut Natural Diamonds totalling 1.45ct (Estimated grading: G VS). 18ct yellow gold. Ring size L. Band width: 5.8mm - 7.5mm. Weight: 7.1g. (Pre-owned),,https://www.solditonline.com.au/catalogue/images/2021/98724-0.54ct-emerald---diamond-ring-18ct-gold.jpg|https://www.solditonline.com.au/catalogue/images/2021/98724_1-0.54ct-emerald---diamond-ring-18ct-gold.jpg|https://www.solditonline.com.au/catalogue/images/2021/98724_2-0.54ct-emerald---diamond-ring-18ct-gold.jpg|https://www.solditonline.com.au/catalogue/images/2021/98724_3-0.54ct-emerald---diamond-ring-18ct-gold.jpg|https://www.solditonline.com.au/catalogue/images/2021/98724_4-0.54ct-emerald---diamond-ring-18ct-gold.jpg|https://www.solditonline.com.au/catalogue/images/2021/98724_5-0.54ct-emerald---diamond-ring-18ct-gold.jpg,3000,3600,1100,,,,3000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ring,,,,0.54,,Diamond,,1.45,0 - 0.49,1 - 1.49,18,Yellow Gold,,,,,,Pre-owned, ,,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
